Patch My PC Supported Products - Report Created on 02/28/2022 20:10:20 - See: https://patchmypc.com/supported-products-scup-catalog
"Product","Vendor"
"Royal TS 4","code4ward GmbH"
"Royal TS 5","code4ward GmbH"
"Royal TS 6","code4ward GmbH"
"MinuteTraq","CompuSolve"
"CPUID CPU-Z","CPUID, Inc."
"DBeaver CE","DBeaver Corp"
"Dell Command Update","Dell, Inc."
"Dell Command Update for Windows 10","Dell, Inc."
"Dell Display Manager","Dell, Inc."
"Remote Desktop Manager Enterprise","Devolutions inc."
"Remote Desktop Manager Free","Devolutions inc."
"DisplayLink","DisplayLink Corp."
"Docker for Windows","Docker Inc."
"KeePass v1 - EXE Install","Dominik Reichl"
"KeePass v1 - MSI Install","Dominik Reichl"
"KeePass v2 - EXE Install","Dominik Reichl"
"KeePass v2 - MSI Install","Dominik Reichl"
"Paint.NET (x64)","dotPDN LLC"
"Paint.NET (x86)","dotPDN LLC"
"Dropbox","Dropbox, Inc."
"Druva inSync","Druva Technologies Pte. Ltd."
"Duo Authentication for Windows Logon (x64) - MSI Install","Duo Security Inc."
"ImageGlass (MSI-x64)","Duong Dieu Phap"
"DYMO Connect","DYMO"
"Temurin JDK with Hotspot 11 (x64)","Eclipse Foundation"
"Temurin JDK with Hotspot 11 (x86)","Eclipse Foundation"
"Temurin JDK with Hotspot 17 (x64)","Eclipse Foundation"
"Temurin JDK with Hotspot 8 (x64)","Eclipse Foundation"
"Temurin JDK with Hotspot Latest (x64)","Eclipse Foundation"
"Temurin JRE with Hotspot 11 (x64)","Eclipse Foundation"
"Temurin JRE with Hotspot 11 (x86)","Eclipse Foundation"
"Temurin JRE with Hotspot 8 (x64)","Eclipse Foundation"
"Temurin JRE with Hotspot 8 (x86)","Eclipse Foundation"
"Egnyte Connect","Egnyte, Inc."
"Egnyte WebEdit (MSI)","Egnyte, Inc."
"ESET Endpoint Security 6 (x64)","ESET, spol. s r .o."
"ESET Endpoint Security 6 (x86)","ESET, spol. s r .o."
"ESET Endpoint Security 7 (x64)","ESET, spol. s r .o."
"ESET Endpoint Security 7 (x86)","ESET, spol. s r .o."
"ESET Endpoint Security 8 (x64)","ESET, spol. s r .o."
"ESET Endpoint Security 8 (x86)","ESET, spol. s r .o."
"ESET Endpoint Security 9 (x64)","ESET, spol. s r .o."
"ESET Endpoint Security 9 (x86)","ESET, spol. s r .o."
"ESET File Security 6 (x64)","ESET, spol. s r .o."
"ESET File Security 6 (x86)","ESET, spol. s r .o."
"ESET File Security 7 (x64)","ESET, spol. s r .o."
"ESET File Security 7 (x86)","ESET, spol. s r .o."
"ESET Remote Administrator Agent (x64)","ESET, spol. s r .o."
"ESET Remote Administrator Agent (x86)","ESET, spol. s r .o."
"Evernote","Evernote Corp."
"Exclaimer Cloud Signature Update Agent","Exclaimer Ltd"
"FastStone Capture","FastStone Soft"
"Crypto Prevent","Foolish IT LLC"
"Foxit PDF Editor 11","Foxit Software Inc."
